case,event,time,lifecycle:transition,amount,paymentAmount,expense,org:resource,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points
A10010,Create Fine,2007/03/20 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10010,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10010,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10010,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10010,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10011,Create Fine,2007/03/21 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10011,Send Fine,2007/09/29 00:00:00.000,COMPLETE,,,18.6,,,,,,,,,
A10011,Insert Fine Notification,2007/10/12 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10011,Add penalty,2007/12/11 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10011,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10012,Create Fine,2007/03/21 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10012,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10015,Create Fine,2007/03/21 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10015,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10015,Insert Fine Notification,2007/08/19 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10015,Add penalty,2007/10/18 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10015,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10018,Create Fine,2007/03/22 00:00:00.000,COMPLETE,22.0,,,537,7,,,A,0.0,,NIL,0
A10018,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10018,Insert Fine Notification,2007/08/09 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10018,Add penalty,2007/10/08 00:00:00.000,COMPLETE,44.0,,,,,,,,,,,
A10018,Payment,2007/10/08 00:00:00.000,COMPLETE,,35.0,,,,,,,35.0,,,
A10019,Create Fine,2007/03/22 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10019,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10019,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10019,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10019,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A1002,Create Fine,2006/08/05 00:00:00.000,COMPLETE,21.0,,,550,7,,,A,0.0,,NIL,0
A1002,Send Fine,2006/12/12 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1002,Insert Fine Notification,2007/01/03 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1002,Add penalty,2007/03/04 00:00:00.000,COMPLETE,42.5,,,,,,,,,,,
A1002,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10021,Create Fine,2007/03/22 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10021,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10021,Insert Fine Notification,2007/08/09 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10021,Add penalty,2007/10/08 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10021,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10022,Create Fine,2007/03/22 00:00:00.000,COMPLETE,22.0,,,537,7,,,A,0.0,,NIL,0
A10022,Payment,2007/03/28 00:00:00.000,COMPLETE,,22.0,,,,,,,22.0,,,
A10023,Create Fine,2007/03/22 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10023,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10023,Insert Fine Notification,2007/07/25 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10023,Add penalty,2007/09/23 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10023,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10024,Create Fine,2007/03/22 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10024,Payment,2007/03/26 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10025,Create Fine,2007/03/22 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10025,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10025,Insert Fine Notification,2007/08/09 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10025,Add penalty,2007/10/08 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10025,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10026,Create Fine,2007/03/22 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10026,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10026,Insert Fine Notification,2007/07/25 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10026,Add penalty,2007/09/23 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10026,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10029,Create Fine,2007/03/22 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10029,Payment,2007/04/10 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10030,Create Fine,2007/03/22 00:00:00.000,COMPLETE,22.0,,,537,7,,,A,0.0,,NIL,0
A10030,Payment,2007/03/26 00:00:00.000,COMPLETE,,22.0,,,,,,,22.0,,,
A10033,Create Fine,2007/03/23 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10033,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10033,Insert Fine Notification,2007/08/19 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10033,Add penalty,2007/10/18 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10033,Payment,2008/09/13 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A10034,Create Fine,2007/03/23 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10034,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10034,Insert Fine Notification,2007/08/20 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10034,Add penalty,2007/10/19 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10034,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10041,Create Fine,2007/03/24 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10041,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10042,Create Fine,2007/03/24 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10042,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10042,Insert Fine Notification,2007/08/09 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10042,Add penalty,2007/10/08 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10042,Payment,2007/10/23 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A10042,Payment,2007/11/13 00:00:00.000,COMPLETE,,38.0,,,,,,,87.0,,,
A10043,Create Fine,2007/03/24 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10043,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10043,Insert Fine Notification,2007/08/10 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10043,Add penalty,2007/10/09 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10043,Payment,2008/10/10 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A10044,Create Fine,2007/03/24 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10044,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10044,Insert Fine Notification,2007/08/09 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10044,Add penalty,2007/10/08 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10044,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10045,Create Fine,2007/03/24 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10045,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10046,Create Fine,2007/03/28 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10046,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10046,Insert Fine Notification,2007/08/05 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10046,Add penalty,2007/10/04 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10046,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10047,Create Fine,2007/03/28 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10047,Payment,2007/04/02 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10049,Create Fine,2007/03/28 00:00:00.000,COMPLETE,36.0,,,537,157,,,A,0.0,,NIL,0
A10049,Payment,2007/03/30 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10050,Create Fine,2007/03/28 00:00:00.000,COMPLETE,22.0,,,537,7,,,A,0.0,,NIL,0
A10050,Send Fine,2007/08/02 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10050,Insert Fine Notification,2007/08/28 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10050,Add penalty,2007/10/27 00:00:00.000,COMPLETE,44.0,,,,,,,,,,,
A10050,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10054,Create Fine,2007/03/07 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10054,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10056,Create Fine,2007/03/07 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10056,Payment,2007/03/17 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10059,Create Fine,2007/03/08 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10059,Payment,2007/04/18 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A1006,Create Fine,2006/08/08 00:00:00.000,COMPLETE,21.0,,,550,7,,,A,0.0,,NIL,0
A1006,Payment,2006/09/12 00:00:00.000,COMPLETE,,21.0,,,,,,,21.0,,,
A10060,Create Fine,2007/03/08 00:00:00.000,COMPLETE,36.0,,,541,157,,,C,0.0,,NIL,0
A10060,Payment,2007/03/13 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10061,Create Fine,2007/03/08 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10061,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10061,Insert Fine Notification,2007/08/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10061,Add penalty,2007/10/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10061,Payment,2008/09/25 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A10063,Create Fine,2007/03/08 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10063,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10063,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10063,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10063,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10067,Create Fine,2007/03/09 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10067,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10067,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10067,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10067,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10068,Create Fine,2007/03/09 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10068,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10068,Insert Fine Notification,2007/08/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10068,Add penalty,2007/10/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10068,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10069,Create Fine,2007/03/09 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10069,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10069,Insert Fine Notification,2007/07/28 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10069,Add penalty,2007/09/26 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10069,Payment,2008/09/30 00:00:00.000,COMPLETE,,87.0,,,,,,,87.0,,,
A1007,Create Fine,2006/08/28 00:00:00.000,COMPLETE,21.0,,,550,7,,,A,0.0,,NIL,0
A1007,Send Fine,2006/12/15 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1007,Insert Fine Notification,2007/01/07 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1007,Add penalty,2007/03/08 00:00:00.000,COMPLETE,42.5,,,,,,,,,,,
A1007,Payment,2007/11/30 00:00:00.000,COMPLETE,,53.5,,,,,,,53.5,,,
A10071,Create Fine,2007/03/09 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10071,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10071,Insert Fine Notification,2007/08/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10071,Add penalty,2007/10/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10071,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10072,Create Fine,2007/03/10 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10072,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10074,Create Fine,2007/03/10 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10074,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10075,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10075,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10075,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10075,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10075,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10076,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10076,Payment,2007/03/12 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10077,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10077,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10078,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10078,Payment,2007/03/21 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10079,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10079,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10079,Insert Fine Notification,2007/07/24 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10079,Add penalty,2007/09/22 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10079,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A1008,Create Fine,2006/08/28 00:00:00.000,COMPLETE,21.0,,,550,7,,,A,0.0,,NIL,0
A1008,Send Fine,2007/04/04 00:00:00.000,COMPLETE,,,16.6,,,,,,,,,
A10082,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10082,Payment,2007/03/11 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10083,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10083,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10083,Insert Fine Notification,2007/08/02 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10083,Add penalty,2007/10/01 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10083,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10085,Create Fine,2007/03/14 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10085,Payment,2007/03/16 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10089,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10089,Payment,2007/03/12 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A1009,Create Fine,2006/08/29 00:00:00.000,COMPLETE,21.0,,,550,7,,,A,0.0,,NIL,0
A1009,Send Fine,2006/12/15 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A1009,Insert Fine Notification,2007/01/01 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A1009,Add penalty,2007/03/02 00:00:00.000,COMPLETE,42.5,,,,,,,,,,,
A1009,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10090,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10090,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10090,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10090,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10090,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10091,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10091,Payment,2007/03/13 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10092,Create Fine,2007/03/11 00:00:00.000,COMPLETE,22.0,,,541,7,,,A,0.0,,NIL,0
A10092,Payment,2007/03/11 00:00:00.000,COMPLETE,,22.0,,,,,,,22.0,,,
A10095,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10095,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10095,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10095,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10095,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10097,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10097,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10097,Insert Fine Notification,2007/07/23 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10097,Add penalty,2007/09/21 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10097,Payment,2007/09/21 00:00:00.000,COMPLETE,,49.0,,,,,,,49.0,,,
A10099,Create Fine,2007/03/11 00:00:00.000,COMPLETE,36.0,,,541,157,,,A,0.0,,NIL,0
A10099,Payment,2007/03/22 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A101,Create Fine,2006/07/30 00:00:00.000,COMPLETE,35.0,,,541,7,,,A,0.0,,NIL,0
A101,Send Fine,2006/12/12 00:00:00.000,COMPLETE,,,11.0,,,,,,,,,
A10101,Create Fine,2007/03/05 00:00:00.000,COMPLETE,36.0,,,557,157,,,A,0.0,,NIL,0
A10101,Send Fine,2007/06/27 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10101,Insert Fine Notification,2007/07/06 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10101,Add penalty,2007/09/04 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10101,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10102,Create Fine,2007/03/05 00:00:00.000,COMPLETE,36.0,,,557,157,,,A,0.0,,NIL,0
A10102,Send Fine,2007/06/27 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10102,Insert Fine Notification,2007/07/07 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10102,Add penalty,2007/09/05 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10102,Insert Date Appeal to Prefecture,2007/09/10 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10102,Send Appeal to Prefecture,2007/10/25 00:00:00.000,COMPLETE,,,,,,,,,,,#,
A10104,Create Fine,2007/03/06 00:00:00.000,COMPLETE,36.0,,,557,157,,,A,0.0,,NIL,0
A10104,Payment,2007/03/06 00:00:00.000,COMPLETE,,36.0,,,,,,,36.0,,,
A10106,Create Fine,2007/03/06 00:00:00.000,COMPLETE,36.0,,,557,157,,,A,0.0,,NIL,0
A10106,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10106,Insert Fine Notification,2007/07/25 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
A10106,Add penalty,2007/09/23 00:00:00.000,COMPLETE,74.0,,,,,,,,,,,
A10106,Send for Credit Collection,2009/03/30 00:00:00.000,COMPLETE,,,,,,,,,,,,
A10107,Create Fine,2007/03/06 00:00:00.000,COMPLETE,36.0,,,557,157,,,A,0.0,,NIL,0
A10107,Send Fine,2007/07/17 00:00:00.000,COMPLETE,,,13.0,,,,,,,,,
A10107,Insert Fine Notification,2007/07/26 00:00:00.000,COMPLETE,,,,,,P,,,,P,,
