case,event,time,lifecycle:transition,amount,paymentAmount,expense,org:resource,article,notificationType,matricola,vehicleClass,totalPaymentAmount,lastSent,dismissal,points,TimeUnix
A10034,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10041,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174694400
A10041,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10042,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174694400
A10042,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10042,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186617600
A10042,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191801600
A10042,Payment,00:00.0,COMPLETE,,49,,,,,,,49,,,,1193097600
A10042,Payment,00:00.0,COMPLETE,,38,,,,,,,87,,,,1194912000
A10043,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174694400
A10043,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10043,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186704000
A10043,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191888000
A10043,Payment,00:00.0,COMPLETE,,87,,,,,,,87,,,,1223596800
A10044,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174694400
A10044,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10044,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186617600
A10044,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191801600
A10044,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10045,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1174694400
A10045,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10046,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1175040000
A10046,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10046,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186272000
A10046,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191456000
A10046,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10047,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1175040000
A10047,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1175472000
A10049,Create Fine,00:00.0,COMPLETE,36,,,537,157,,,A,0,,NIL,0,1175040000
A10049,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1175212800
A10050,Create Fine,00:00.0,COMPLETE,22,,,537,7,,,A,0,,NIL,0,1175040000
A10050,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1186012800
A10050,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1188259200
A10050,Add penalty,00:00.0,COMPLETE,44,,,,,,,,,,,,1193443200
A10050,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10054,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173225600
A10054,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10056,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173225600
A10056,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174089600
A10059,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173312000
A10059,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1176854400
A1006,Create Fine,00:00.0,COMPLETE,21,,,550,7,,,A,0,,NIL,0,1154995200
A1006,Payment,00:00.0,COMPLETE,,21,,,,,,,21,,,,1158019200
A10060,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,C,0,,NIL,0,1173312000
A10060,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173744000
A10061,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173312000
A10061,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10061,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186012800
A10061,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191196800
A10061,Payment,00:00.0,COMPLETE,,87,,,,,,,87,,,,1222300800
A10063,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173312000
A10063,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10063,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10063,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10063,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10067,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173398400
A10067,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10067,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10067,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10067,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10068,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173398400
A10068,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10068,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186012800
A10068,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191196800
A10068,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10069,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173398400
A10069,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10069,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185580800
A10069,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190764800
A10069,Payment,00:00.0,COMPLETE,,87,,,,,,,87,,,,1222732800
A1007,Create Fine,00:00.0,COMPLETE,21,,,550,7,,,A,0,,NIL,0,1156723200
A1007,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1166140800
A1007,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1168128000
A1007,Add penalty,00:00.0,COMPLETE,42.5,,,,,,,,,,,,1173312000
A1007,Payment,00:00.0,COMPLETE,,53.5,,,,,,,53.5,,,,1196380800
A10071,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173398400
A10071,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10071,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186012800
A10071,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191196800
A10071,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10072,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173484800
A10072,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10074,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173484800
A10074,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10075,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10075,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10075,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10075,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10075,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10076,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10076,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173657600
A10077,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10077,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10078,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10078,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174435200
A10079,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10079,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10079,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185235200
A10079,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190419200
A10079,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A1008,Create Fine,00:00.0,COMPLETE,21,,,550,7,,,A,0,,NIL,0,1156723200
A1008,Send Fine,00:00.0,COMPLETE,,,16.6,,,,,,,,,,1175644800
A10082,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10082,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173571200
A10083,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10083,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10083,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186012800
A10083,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191196800
A10083,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10085,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173830400
A10085,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174003200
A10089,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10089,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173657600
A1009,Create Fine,00:00.0,COMPLETE,21,,,550,7,,,A,0,,NIL,0,1156809600
A1009,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1166140800
A1009,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1167609600
A1009,Add penalty,00:00.0,COMPLETE,42.5,,,,,,,,,,,,1172793600
A1009,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10090,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10090,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10090,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10090,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10090,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10091,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10091,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173744000
A10092,Create Fine,00:00.0,COMPLETE,22,,,541,7,,,A,0,,NIL,0,1173571200
A10092,Payment,00:00.0,COMPLETE,,22,,,,,,,22,,,,1173571200
A10095,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10095,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10095,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10095,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10095,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10097,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10097,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10097,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10097,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10097,Payment,00:00.0,COMPLETE,,49,,,,,,,49,,,,1190332800
A10099,Create Fine,00:00.0,COMPLETE,36,,,541,157,,,A,0,,NIL,0,1173571200
A10099,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174521600
A101,Create Fine,00:00.0,COMPLETE,35,,,541,7,,,A,0,,NIL,0,1154217600
A101,Send Fine,00:00.0,COMPLETE,,,11,,,,,,,,,,1165881600
A10101,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173052800
A10101,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1182902400
A10101,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1183680000
A10101,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1188864000
A10101,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10102,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173052800
A10102,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1182902400
A10102,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1183766400
A10102,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1188950400
A10102,Insert Date Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,,,1189382400
A10102,Send Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,#,,1193270400
A10104,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173139200
A10104,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173139200
A10106,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173139200
A10106,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10106,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185321600
A10106,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190505600
A10106,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10107,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173139200
A10107,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10107,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185408000
A10107,Insert Date Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,,,1185494400
A10107,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190592000
A10107,Send Appeal to Prefecture,00:00.0,COMPLETE,,,,,,,,,,,#,,1190592000
A10108,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173139200
A10108,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1174608000
A10109,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173139200
A10109,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10112,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173139200
A10112,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173916800
A10113,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173139200
A10113,Payment,00:00.0,COMPLETE,,36,,,,,,,36,,,,1173225600
A10115,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173225600
A10115,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10115,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186099200
A10115,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191283200
A10115,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10117,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173225600
A10117,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10118,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173225600
A10118,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10119,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173225600
A10119,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10120,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173312000
A10120,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10120,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185148800
A10120,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190332800
A10120,Payment,00:00.0,COMPLETE,,49,,,,,,,49,,,,1190678400
A10120,Payment,00:00.0,COMPLETE,,38,,,,,,,87,,,,1194220800
A10121,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173312000
A10121,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10121,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1185321600
A10121,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1190505600
A10121,Send for Credit Collection,00:00.0,COMPLETE,,,,,,,,,,,,,1238371200
A10122,Create Fine,00:00.0,COMPLETE,36,,,557,157,,,A,0,,NIL,0,1173398400
A10122,Send Fine,00:00.0,COMPLETE,,,13,,,,,,,,,,1184630400
A10122,Insert Fine Notification,00:00.0,COMPLETE,,,,,,P,,,,P,,,1186012800
A10122,Add penalty,00:00.0,COMPLETE,74,,,,,,,,,,,,1191196800
A10122,Payment,00:00.0,COMPLETE,,87,,,,,,,87,,,,1222300800
